Designator,Mid X,Mid Y,Rotation,Layer
BZ1,-18.074999,6.374999,180.0,top
C1,-2.924999,-3.025001,270.0,top
C2,-11.424999,3.924999,0.0,top
C3,-11.449999,6.024999,0.0,top
C4,6.725001,-11.400001,180.0,top
C5,5.150001,-0.775002,0.0,top
C6,5.950001,1.724999,0.0,top
C7,11.525001,-6.650001,0.0,top
C8,11.525001,0.599999,180.0,top
C9,4.075001,15.399999,0.0,top
D1,-14.274999,6.999999,90.0,top
D2,3.425001,-4.150001,90.0,top
J1,-6.594999,18.549999,90.0,top
J11,4.650001,18.549998,90.0,top
J13,-18.074999,2.699998,0.0,top
J2,-2.924999,-18.150001,90.0,top
J7,18.625001,6.299999,0.0,top
R1,-1.024999,-3.050001,270.0,top
R2,-11.474999,7.924999,0.0,top
R3,6.725001,-3.525001,180.0,top
U1,-2.124999,7.474999,180.0,top
U2,6.625001,-7.450001,90.0,top
U3,11.525002,-3.0,90.0,top
VCC,-10.117101,-2.982899,45.0,top
Y1,11.225001,4.799999,0.0,top
