Designator,Mid X,Mid Y,Rotation,Layer
B+,17.137501,0.819999,90.0,top
C10,-2.155001,-11.330001,180.0,top
C11,-3.587501,11.632499,270.0,top
C12,-3.462499,-1.63,90.0,top
C13,7.312501,-11.155001,180.0,top
C14,12.837501,2.644999,270.0,top
C15,17.537502,-3.780001,180.0,top
C17,8.25,8.469999,180.0,top
C18,8.1875,12.219999,180.0,top
C19,-2.087499,8.869999,0.0,bottom
D3,-6.3875,-11.305,270.0,top
D4,-3.512501,7.232499,0.0,top
D5,-3.737499,2.419999,180.0,top
D6,3.187501,-11.205001,270.0,top
D9,-4.837499,13.669999,90.0,bottom
M1,-0.637499,-20.180001,270.0,top
M2,-17.637499,-0.555001,180.0,top
M3,-17.612499,-3.180002,0.0,top
M4,1.962501,-20.180001,90.0,top
NEO,9.377501,16.419999,270.0,top
Q1,-2.124999,-14.880001,180.0,top
Q2,0.137501,11.619999,270.0,top
Q3,-7.412498,-1.592501,90.0,top
Q4,7.375001,-14.880001,180.0,top
Q5,12.600001,-2.030001,180.0,top
R10,6.112503,-7.417501,90.0,top
R11,8.162501,-7.405001,90.0,top
R12,8.212501,6.519999,180.0,top
R13,8.237501,10.369999,0.0,top
R14,-0.587499,11.919999,270.0,bottom
R4,-3.242501,-7.555001,90.0,top
R5,-0.942501,-7.492501,90.0,top
R6,-7.275001,10.432499,180.0,top
R7,-7.275001,12.782499,180.0,top
R8,0.0,-0.73,0.0,top
R9,-0.012499,-2.780001,0.0,top
