Designator,Mid X,Mid Y,Rotation,Layer
B+,-24.825,2.924999,90.0,top
B+1,-16.049999,-43.925001,270.0,top
BZ1,-18.074999,6.374999,180.0,top
BZ2,-22.8,-47.375001,0.0,top
C1,-2.924999,-3.025001,270.0,top
C10,-44.117502,-9.225001,180.0,top
C11,-45.550002,13.737499,270.0,top
C12,-45.425,0.475,90.0,top
C13,-34.65,-9.050001,180.0,top
C14,-29.125,4.749999,270.0,top
C15,-24.424999,-1.675001,180.0,top
C16,-37.95,-37.975001,90.0,top
C17,-33.712501,10.574999,180.0,top
C18,-33.775001,14.324999,180.0,top
C19,-44.05,10.974999,0.0,bottom
C2,-11.424999,3.924999,0.0,top
C20,-29.450001,-44.925001,180.0,top
C21,-29.425,-47.025001,180.0,top
C22,-47.6,-29.600001,0.0,top
C23,-46.025,-40.225,180.0,top
C24,-46.825,-42.725001,180.0,top
C25,-52.4,-34.350001,180.0,top
C26,-52.4,-41.600001,0.0,top
C27,-44.95,-56.400001,180.0,top
C28,3.242503,-31.775001,0.0,top
C29,4.675003,-54.737501,90.0,top
C3,-11.449999,6.024999,0.0,top
C30,4.550001,-41.475002,270.0,top
C31,-6.224998,-31.950001,0.0,top
C32,-11.749999,-45.750001,90.0,top
C33,-16.449999,-39.325001,0.0,top
C34,-7.162498,-51.575001,0.0,top
C35,-7.099998,-55.325001,0.0,top
C36,3.175001,-51.975001,180.0,bottom
C4,6.725001,-11.400001,180.0,top
C5,5.150001,-0.775002,0.0,top
C6,5.950001,1.724999,0.0,top
C7,11.525001,-6.650001,0.0,top
C8,11.525001,0.599999,180.0,top
C9,4.075001,15.399999,0.0,top
D1,-14.274999,6.999999,90.0,top
D10,7.475002,-31.800002,90.0,top
D11,4.600003,-50.337501,180.0,top
D12,4.825001,-45.525001,0.0,top
D13,-2.099999,-31.900001,90.0,top
D14,5.925001,-56.775001,270.0,bottom
D2,3.425001,-4.150001,90.0,top
D3,-48.350001,-9.2,270.0,top
D4,-45.475002,9.337499,0.0,top
D5,-45.7,4.524999,180.0,top
D6,-38.775,-9.100001,270.0,top
D7,-26.6,-48.000001,270.0,top
D8,-44.3,-36.850001,270.0,top
D9,-46.8,15.774999,90.0,bottom
J1,-6.594999,18.549999,90.0,top
J11,4.650001,18.549998,90.0,top
J12,-45.525,-59.55,270.0,top
J13,-18.074999,2.699998,0.0,top
J14,-22.8,-43.7,180.0,top
J2,-2.924999,-18.150001,90.0,top
J3,-34.28,-59.550001,270.0,top
J4,-37.95,-22.850001,270.0,top
J7,18.625001,6.299999,0.0,top
J8,-59.5,-47.300001,180.0,top
M1,-42.6,-18.075001,270.0,top
M2,-59.6,1.549999,180.0,top
M3,-59.575,-1.075002,0.0,top
M4,-40.0,-18.075001,90.0,top
M5,1.725001,-22.925001,90.0,top
M6,18.725001,-42.550001,0.0,top
M7,18.700001,-39.925,180.0,top
M8,-0.874999,-22.925001,270.0,top
NEO,-32.585,18.524999,270.0,top
NEO1,-8.289998,-59.525001,90.0,top
Q1,-44.0875,-12.775001,180.0,top
Q10,-11.512499,-41.075001,0.0,top
Q2,-41.825,13.724999,270.0,top
Q3,-49.374999,0.512499,90.0,top
Q4,-34.5875,-12.775001,180.0,top
Q5,-29.3625,0.074999,180.0,top
Q6,3.212501,-28.225001,0.0,top
Q7,0.950001,-54.725001,90.0,top
Q8,8.5,-41.512501,270.0,top
Q9,-6.287499,-28.225001,0.0,top
R1,-1.024999,-3.050001,270.0,top
R10,-35.849998,-5.312501,90.0,top
R11,-33.8,-5.300001,90.0,top
R12,-33.75,8.624999,180.0,top
R13,-33.725,12.474999,0.0,top
R14,-42.55,14.024999,270.0,bottom
R15,-39.85,-37.950001,90.0,top
R16,-29.4,-48.925001,180.0,top
R17,-47.6,-37.475001,0.0,top
R18,4.330003,-35.55,270.0,top
R19,2.030003,-35.612501,270.0,top
R2,-11.474999,7.924999,0.0,top
R20,8.362503,-53.537501,0.0,top
R21,8.362503,-55.887501,0.0,top
R22,1.087502,-42.375001,180.0,top
R23,1.100001,-40.325001,180.0,top
R24,-5.025001,-35.687501,270.0,top
R25,-7.074999,-35.700001,270.0,top
R26,-7.124999,-49.625001,0.0,top
R27,-7.149999,-53.475001,180.0,top
R28,1.675001,-55.025001,90.0,bottom
R3,6.725001,-3.525001,180.0,top
R4,-45.205002,-5.450001,90.0,top
R5,-42.905002,-5.387501,90.0,top
R6,-49.237502,12.537499,180.0,top
R7,-49.237502,14.887499,180.0,top
R8,-41.962501,1.375,0.0,top
R9,-41.975,-0.675001,0.0,top
U1,-2.124999,7.474999,180.0,top
U2,6.625001,-7.450001,90.0,top
U3,11.525002,-3.0,90.0,top
U4,-38.75,-48.475001,0.0,top
U5,-47.5,-33.550001,270.0,top
U6,-52.400001,-38.000002,270.0,top
VCC,-10.117101,-2.982899,45.0,top
VCC1,-30.757898,-38.017103,225.0,top
Y1,11.225001,4.799999,0.0,top
Y2,-52.1,-45.800001,180.0,top
mouse-bite-2mm-slot_2,-20.525,9.899999,90.0,top
mouse-bite-2mm-slot,-20.525,-7.950001,90.0,top
mouse-bite-2mm-slot1_6,9.075,-20.525001,0.0,top
mouse-bite-2mm-slot1_5,-20.349999,-33.050001,270.0,top
mouse-bite-2mm-slot1_4,-50.325,-20.475001,0.0,top
mouse-bite-2mm-slot1_3,-33.3,-20.475001,0.0,top
mouse-bite-2mm-slot1_2,-20.35,-51.050001,270.0,top
mouse-bite-2mm-slot1,-7.775,-20.525001,0.0,top
